observation_date,MEXCPIALLMINMEI
10-01-19,119.221400000000002706
11-01-19,120.183099999999996044
12-01-19,120.853899999999995885
01-01-20,121.439199999999999591
02-01-20,121.943399999999996908
03-01-20,121.885300000000000864
04-01-20,120.649699999999995725
05-01-20,121.114099999999993429
06-01-20,121.776899999999997704
07-01-20,122.576599999999999113
08-01-20,123.059200000000004138
09-01-20,123.340999999999993975
10-01-20,124.093900000000004979
11-01-20,124.187500000000000000
12-01-20,124.660899999999998045
01-01-21,125.732200000000005957
02-01-21,126.527299999999996771
03-01-21,127.573499999999995680
04-01-21,127.990999999999999659
05-01-21,128.252299999999991087
06-01-21,128.935699999999997090
07-01-21,129.693199999999990268
08-01-21,129.940799999999995862
09-01-21,130.741600000000005366
10-01-21,131.836800000000010868
11-01-21,133.346200000000010277
12-01-21,133.829900000000009186
01-01-22,134.621600000000000819
02-01-22,135.738499999999987722
03-01-22,137.082400000000006912
04-01-22,137.824000000000012278
05-01-22,138.067000000000007276
06-01-22,139.232900000000000773
07-01-22,140.264199999999988222
08-01-22,141.239599999999995816
09-01-22,142.115800000000007230
10-01-22,142.920099999999990814
11-01-22,143.742600000000010141
12-01-22,144.291400000000010095
01-01-23,145.270199999999988449
02-01-23,146.080199999999990723
03-01-23,146.471499999999991815
04-01-23,146.441900000000003956
05-01-23,146.123600000000010368
06-01-23,146.271899999999988040
07-01-23,146.976900000000000546
08-01-23,147.790400000000005321
09-01-23,148.446300000000007913
10-01-23,149.004199999999997317
11-01-23,149.957999999999998408
12-01-23,151.016699999999985948
01-01-24,152.365100000000012415
02-01-24,152.508900000000011232
03-01-24,152.947000000000002728
04-01-24,153.256100000000003547
05-01-24,152.972100000000011732
06-01-24,153.550499999999999545
07-01-24,155.157900000000012142
